pixel Ahlai as <playerName> "<i>What should I ask?</i>"

choice in -1
{
	- if ($TablemateChosen) Who was at the table with you just now?
		pixel Myo "Well, I won't stop you from getting where you need to be."

		pixel Myo "I do hope we can do this again sometime, <playerName>."

		pixel Ahlai as <playerName> "Likewise, sir."

		HideTextbox(false)
		ToggleInteractable("Scene 9" "Tavern" "Myo" false)

		$MyoTalkedTo = true
}
